"filename", "language", "Log", "HTML", "Python", "Batch", "Verilog", "C++", "Ini", "C", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\mars_duipai\duipai.bat", "Batch", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\mars_duipai\rand.c", "C", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 1, 22
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\auto_test.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\dasm.py", "Python", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 11, 202
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\mips_gen.cpp", "C++", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 2, 194
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\run.py", "Python", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 2, 22, 277
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\run_old.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\submit\p3\2021年北航计组P3实验报告.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 722, 0, 0, 70, 792
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\submit\p3\run.py", "Python", 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 4, 18, 294
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\submit\p3\run_dp.py", "Python", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 2, 22, 277
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\submit\p3\run_new.py", "Python", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 4, 19, 308
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\submit\p3\test_gen.cpp", "C++", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 1, 2, 197
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\auto_test.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\dasm.py", "Python", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 11, 202
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\mips_gen.cpp", "C++", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 2, 194
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\run.py", "Python", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 2, 21, 279
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\run_old.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_1024\test_gen.cpp", "C++", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 46, 2, 241
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_advanced\test-alu.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_advanced\test-dm.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p3\test_advanced\test-rand-logs\dasm.py", "Python", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 7, 18, 234
