Date : 2021-12-15 21:20:21
Directory : c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo
Total : 2186 files,  2592571 codes, 16869 comments, 276433 blanks, all 2885873 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        949 |  2,461,955 |     11,296 |    265,641 |  2,738,892 |
| Verilog  |        714 |     47,682 |      3,223 |      6,364 |     57,269 |
| C++      |         76 |     37,013 |      1,846 |        973 |     39,832 |
| Python   |        115 |     21,640 |        446 |      1,455 |     23,541 |
| Log      |        173 |     15,086 |          0 |        694 |     15,780 |
| Markdown |          4 |      4,554 |          0 |        345 |      4,899 |
| HTML     |         75 |      4,462 |         55 |        882 |      5,399 |
| Batch    |         55 |        118 |          0 |         54 |        172 |
| XML      |          1 |         37 |          3 |          1 |         41 |
| Ini      |         24 |         24 |          0 |         24 |         48 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |      2,186 |  2,592,571 |     16,869 |    276,433 |  2,885,873 |
| mars_duipai                                                                                                                                                                       |          2 |         38 |          3 |          1 |         42 |
| test_p3                                                                                                                                                                           |         44 |      7,194 |         92 |        409 |      7,695 |
| test_p3\submit                                                                                                                                                                    |          5 |      1,726 |         11 |        131 |      1,868 |
| test_p3\submit\p3                                                                                                                                                                 |          5 |      1,726 |         11 |        131 |      1,868 |
| test_p3\test_1024                                                                                                                                                                 |          6 |        873 |         49 |         44 |        966 |
| test_p3\test_advanced                                                                                                                                                             |          6 |        345 |          7 |         43 |        395 |
| test_p3\test_advanced\test-rand-logs                                                                                                                                              |          2 |        209 |          7 |         19 |        235 |
| test_p3\test_lwl+                                                                                                                                                                 |          5 |        874 |          5 |         35 |        914 |
| test_p3\test_mars                                                                                                                                                                 |          5 |        859 |          5 |         34 |        898 |
| test_p3\test_mars_0x3000                                                                                                                                                          |          5 |        864 |          7 |         34 |        905 |
| test_p3\test_old                                                                                                                                                                  |          6 |        782 |          4 |         43 |        829 |
| test_p4                                                                                                                                                                           |        279 |    207,026 |      2,128 |     21,885 |    231,039 |
| test_p4\cpu                                                                                                                                                                       |         37 |      4,078 |        445 |        516 |      5,039 |
| test_p4\cpu\isim                                                                                                                                                                  |         18 |      3,302 |        179 |        438 |      3,919 |
| test_p4\cpu\isim\mips.exe.sim                                                                                                                                                     |         17 |      3,287 |        179 |        436 |      3,902 |
| test_p4\cpu\isim\mips.exe.sim\work                                                                                                                                                |         15 |      3,268 |        179 |        425 |      3,872 |
| test_p4\cpu_beta                                                                                                                                                                  |         66 |     51,889 |        547 |      5,545 |     57,981 |
| test_p4\cpu_beta\isim                                                                                                                                                             |         38 |     49,860 |        344 |      5,348 |     55,552 |
| test_p4\cpu_beta\isim\mips.exe.sim                                                                                                                                                |         12 |     17,153 |        119 |      1,872 |     19,144 |
| test_p4\cpu_beta\isim\mips.exe.sim\work                                                                                                                                           |         10 |     17,134 |        119 |      1,861 |     19,114 |
| test_p4\cpu_beta\isim\mips_tb_isim_beh.exe.sim                                                                                                                                    |         13 |     17,880 |        131 |      1,948 |     19,959 |
| test_p4\cpu_beta\isim\mips_tb_isim_beh.exe.sim\work                                                                                                                               |         11 |     17,861 |        131 |      1,937 |     19,929 |
| test_p4\cpu_beta\isim\tb_ctr_isim_beh.exe.sim                                                                                                                                     |          6 |     13,119 |         47 |      1,333 |     14,499 |
| test_p4\cpu_beta\isim\tb_ctr_isim_beh.exe.sim\work                                                                                                                                |          4 |     13,100 |         47 |      1,322 |     14,469 |
| test_p4\cpu_beta\isim\yb_dm_isim_beh.exe.sim                                                                                                                                      |          6 |      1,693 |         47 |        193 |      1,933 |
| test_p4\cpu_beta\isim\yb_dm_isim_beh.exe.sim\work                                                                                                                                 |          4 |      1,674 |         47 |        182 |      1,903 |
| test_p4\isim                                                                                                                                                                      |         18 |      3,302 |        179 |        438 |      3,919 |
| test_p4\isim\mips.exe.sim                                                                                                                                                         |         17 |      3,287 |        179 |        436 |      3,902 |
| test_p4\isim\mips.exe.sim\work                                                                                                                                                    |         15 |      3,268 |        179 |        425 |      3,872 |
| test_p4\p4_test                                                                                                                                                                   |        149 |    145,683 |        950 |     15,272 |    161,905 |
| test_p4\p4_test\cpu                                                                                                                                                               |         30 |     18,418 |        193 |      1,998 |     20,609 |
| test_p4\p4_test\cpu1                                                                                                                                                              |         33 |     46,127 |        226 |      4,801 |     51,154 |
| test_p4\p4_test\cpu1\isim                                                                                                                                                         |         16 |     44,836 |        155 |      4,676 |     49,667 |
| test_p4\p4_test\cpu1\isim\mips.exe.sim                                                                                                                                            |         15 |     44,821 |        155 |      4,674 |     49,650 |
| test_p4\p4_test\cpu1\isim\mips.exe.sim\work                                                                                                                                       |         13 |     44,802 |        155 |      4,663 |     49,620 |
| test_p4\p4_test\cpu1\src                                                                                                                                                          |         10 |        539 |         60 |         76 |        675 |
| test_p4\p4_test\cpu\isim                                                                                                                                                          |         13 |     17,154 |        119 |      1,874 |     19,147 |
