"filename", "language", "Log", "C++", "Verilog", "Batch", "Python", "C", "HTML", "Ini", "Markdown", "XML", "Properties", "Java", "CSS", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\Config.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 20, 4, 56
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\CreateMarsJar.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\InstructionSet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3299, 0, 246, 48, 3593
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\Mars.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 33, 5, 43
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\Settings.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 2, 34
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\Syscall.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 0, 45
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\ErrorList.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 86, 25, 199
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\ErrorMessage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 135, 31, 285
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\Globals.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 89, 22, 250
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\MIPSprogram.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 202, 61, 423
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\MarsLaunch.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 638, 0, 162, 43, 843
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\MarsSplashScreen.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 44, 14, 101
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\ProcessingException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 83, 16, 134
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\ProgramStatement.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 256, 65, 731
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\Settings.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 626, 0, 623, 159, 1408
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\Assembler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 987, 0, 449, 80, 1516
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\DataTypes.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 73, 10, 132
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\Directives.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 85, 28, 190
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\Macro.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 86, 35, 255
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\MacroPool.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 91, 24, 203
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\OperandFormat.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 74, 17, 199
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\SourceLine.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 54, 9, 91
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\Symbol.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 54, 14, 94
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\SymbolTable.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 113, 33, 262
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\Token.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 103, 24, 177
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\TokenList.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 104, 20, 182
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\MyMars\Mars Change 1.7.1\mars\assembler\TokenTypes.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 139, 33, 294
