Date : 2021-12-15 21:34:16
Directory : c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo
Total : 3138 files,  3258548 codes, 62538 comments, 352482 blanks, all 3673568 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C          |      1,079 |  2,934,050 |     12,850 |    317,283 |  3,264,183 |
| HTML       |        404 |    125,858 |      6,395 |     14,381 |    146,634 |
| Java       |        410 |     66,135 |     37,372 |     10,215 |    113,722 |
| Verilog    |        757 |     51,412 |      3,425 |      6,834 |     61,671 |
| C++        |         79 |     39,070 |      1,959 |      1,031 |     42,060 |
| Python     |        119 |     22,551 |        471 |      1,520 |     24,542 |
| Log        |        190 |     14,510 |          0 |        765 |     15,275 |
| Markdown   |          4 |      4,554 |          0 |        345 |      4,899 |
| Properties |          6 |        202 |         56 |         12 |        270 |
| Batch      |         62 |        129 |          0 |         60 |        189 |
| XML        |          1 |         37 |          3 |          1 |         41 |
| Ini        |         26 |         26 |          0 |         26 |         52 |
| CSS        |          1 |         14 |          7 |          9 |         30 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |      3,138 |  3,258,548 |     62,538 |    352,482 |  3,673,568 |
| MyMars                                                                                                                                                                            |        742 |    187,522 |     43,775 |     23,693 |    254,990 |
| MyMars\Mars Change 1.7.1                                                                                                                                                          |        199 |     30,456 |     17,267 |      4,495 |     52,218 |
| MyMars\Mars Change 1.7.1\mars                                                                                                                                                     |        193 |     27,050 |     16,960 |      4,436 |     48,446 |
| MyMars\Mars Change 1.7.1\mars\assembler                                                                                                                                           |         14 |      2,190 |      1,668 |        364 |      4,222 |
| MyMars\Mars Change 1.7.1\mars\mips                                                                                                                                                |         73 |      6,973 |      4,857 |      1,033 |     12,863 |
| MyMars\Mars Change 1.7.1\mars\mips\dump                                                                                                                                           |         10 |        323 |        540 |         93 |        956 |
| MyMars\Mars Change 1.7.1\mars\mips\hardware                                                                                                                                       |         12 |      1,655 |      1,450 |        430 |      3,535 |
| MyMars\Mars Change 1.7.1\mars\mips\instructions                                                                                                                                   |         51 |      4,995 |      2,867 |        510 |      8,372 |
| MyMars\Mars Change 1.7.1\mars\mips\instructions\syscalls                                                                                                                          |         44 |      1,237 |      2,064 |        382 |      3,683 |
| MyMars\Mars Change 1.7.1\mars\simulator                                                                                                                                           |          7 |        753 |        778 |        156 |      1,687 |
| MyMars\Mars Change 1.7.1\mars\util                                                                                                                                                |          6 |      1,129 |        902 |        246 |      2,277 |
| MyMars\Mars Change 1.7.1\mars\venus                                                                                                                                               |         84 |     13,747 |      7,075 |      2,201 |     23,023 |
| MyMars\Mars Change 1.7.1\mars\venus\editors                                                                                                                                       |         17 |      4,777 |      2,191 |        879 |      7,847 |
| MyMars\Mars Change 1.7.1\mars\venus\editors\generic                                                                                                                               |          1 |        206 |        134 |         40 |        380 |
| MyMars\Mars Change 1.7.1\mars\venus\editors\jeditsyntax                                                                                                                           |         15 |      4,520 |      2,025 |        833 |      7,378 |
| MyMars\Mars Change 1.7.1\mars\venus\editors\jeditsyntax\tokenmarker                                                                                                               |          3 |        551 |        401 |        110 |      1,062 |
| MyMars\Mars_2.0                                                                                                                                                                   |        543 |    157,066 |     26,508 |     19,198 |    202,772 |
| MyMars\Mars_2.0\docs                                                                                                                                                              |        309 |    118,980 |      6,347 |     13,184 |    138,511 |
| MyMars\Mars_2.0\docs\mars                                                                                                                                                         |        293 |    101,344 |      6,164 |     12,587 |    120,095 |
| MyMars\Mars_2.0\docs\mars\assembler                                                                                                                                               |         17 |      6,233 |        343 |        842 |      7,418 |
| MyMars\Mars_2.0\docs\mars\mips                                                                                                                                                    |         83 |     22,256 |      1,699 |      3,062 |     27,017 |
| MyMars\Mars_2.0\docs\mars\mips\dump                                                                                                                                               |         13 |      2,845 |        252 |        402 |      3,499 |
| MyMars\Mars_2.0\docs\mars\mips\hardware                                                                                                                                           |         15 |      6,846 |        303 |        859 |      8,008 |
